"Main","Day","TotalVolume"
" UNIVERSITY AVE ","Wednesday",384622
" VAUGHAN RD ","Wednesday",12997
" VICTORIA PARK AVE ","Wednesday",603851
" VICTORIA ST ","Thursday",22356
" WARDEN AVE ","Wednesday",565499
" WELLESLEY ST E ","Wednesday",19624
" WELLINGTON ST W ","Thursday",36847
" WESTON RD ","Wednesday",582393
" WICKSTEED AVE ","Tuesday",9275
" WILLIAM KITCHEN RD ","Monday",7317
" WILLIAM R ALLEN RD ","Wednesday",210624
" WILLOWDALE AVE ","Wednesday",49702
" WILMINGTON AVE ","Tuesday",9708
" WILSON AVE ","Tuesday",431710
" WILSON HEIGHTS BLVD ","Thursday",25174
" WINDERMERE AVE ","Thursday",7122
" WOODBINE AVE ","Thursday",41119
" WYNFORD DR ","Tuesday",55710
" YONGE ST ","Wednesday",1817278
" YORK BLVD ","Tuesday",22023
" YORK MILLS RD ","Wednesday",216253
" YORK ST ","Wednesday",109244
" YORKDALE 401 ALLEN N RAMP ","Thursday",10027
" YORKDALE RD ","Wednesday",44267
" YORKLAND RD ","Monday",10740
" ZOO RD ","Sunday",1998
